company_id,founded_year,company_age_years,category,country,funding_round,funding_total_usd_M,num_funding_rounds,num_employees,num_investors,num_milestones,num_relationships,top_tier_investor,revenue_proxy,market_size,has_patent,founder_experience,status
C0019,2016,8,Biotech,Brazil,Series C,53.75,4,129,10,4,10,0,3.0,1,1,4,operating
C0020,2000,24,Logistics,Germany,Seed,0.27,1,4,3,15,3,0,0.0,1,0,2,acquired
C0021,2009,15,Software,Germany,Series C,21.46,4,163,10,11,11,0,3.3,1,0,3,operating
C0022,2019,5,AI/ML,Israel,Seed,0.37,1,3,3,2,4,0,0.9,1,0,2,closed
C0023,2007,17,HealthTech,Singapore,IPO,362.8,7,5768,14,14,11,1,4.1,3,1,4,operating
C0024,2016,8,EdTech,Sweden,Series A,1.77,3,48,6,9,5,0,0.7,2,0,2,operating
C0025,2012,12,CleanTech,China,Seed,0.46,1,3,3,8,5,0,0.8,2,0,5,closed
C0026,2007,17,Software,USA,Series D+,146.21,5,344,9,13,8,0,3.0,2,0,2,operating
C0027,2003,21,Logistics,Australia,Series A,2.69,2,33,2,14,1,0,0.7,2,0,5,operating
C0028,2012,12,Gaming,USA,Series C,25.86,4,89,9,6,8,0,2.9,2,0,2,operating
C0029,2004,20,AgriTech,China,Series A,6.04,3,12,6,18,7,0,0.9,1,0,5,operating
C0030,2010,14,E-Commerce,France,Series B,12.89,4,84,8,8,6,0,1.6,1,0,5,operating
C0031,2019,5,Software,Canada,Seed,0.46,2,8,3,7,4,0,0.0,3,1,3,operating
C0032,2019,5,Biotech,Japan,Seed,0.5,1,3,2,5,4,0,0.0,3,0,2,closed
C0033,2014,10,Logistics,South Korea,Series D+,140.5,5,503,11,7,10,0,4.7,2,0,5,operating
C0034,2002,22,HealthTech,Canada,Series D+,556.23,6,307,9,16,10,0,4.1,1,0,3,operating
C0035,2016,8,HealthTech,Sweden,Series A,8.71,3,10,6,7,5,1,0.8,2,0,2,operating
C0036,2017,7,CleanTech,Netherlands,Series B,9.74,4,39,4,3,6,0,2.5,2,0,1,acquired
C0037,2002,22,Biotech,Singapore,Seed,0.51,1,15,2,17,3,0,0.0,1,0,5,operating
C0038,2007,17,Software,USA,Series B,6.78,4,66,5,10,5,0,2.4,2,0,3,operating
C0039,2015,9,SaaS,USA,Series A,6.91,3,19,3,6,4,0,1.0,2,0,3,operating
C0040,2005,19,Biotech,Germany,Series A,2.16,3,34,4,11,3,0,1.5,3,1,5,operating
C0041,2020,4,Biotech,Canada,Series A,3.38,2,10,4,6,3,0,0.0,2,1,4,operating
C0042,2017,7,E-Commerce,UK,Series B,18.62,4,58,7,3,5,1,2.6,2,0,1,operating
C0043,2012,12,FoodTech,Brazil,Series A,2.53,3,14,4,12,6,1,1.3,3,0,2,operating
C0044,2013,11,Gaming,France,Series A,4.72,2,13,4,11,6,1,1.7,1,0,5,operating
C0045,2016,8,AI/ML,Singapore,Seed,0.23,1,4,4,6,3,0,0.0,1,0,2,closed
C0046,2011,13,CleanTech,USA,Seed,0.22,2,2,1,9,3,0,0.2,1,0,4,acquired
C0047,2008,16,FoodTech,Netherlands,Seed,0.07,2,7,1,12,3,0,0.9,3,0,3,operating
C0048,2011,13,E-Commerce,South Korea,Seed,0.63,2,3,0,8,1,0,0.0,2,0,1,operating
C0049,2004,20,CleanTech,Brazil,Seed,0.26,1,7,0,12,0,0,0.0,2,0,4,acquired
C0050,2010,14,FoodTech,China,IPO,422.31,7,3871,14,9,11,0,4.8,1,0,2,operating
C0051,2012,12,FoodTech,Germany,Series B,8.52,4,251,6,10,5,0,2.8,2,0,2,operating
C0052,2007,17,FoodTech,China,Seed,0.08,1,11,2,10,4,0,0.0,3,0,5,operating
C0053,2004,20,Software,South Korea,Series C,31.34,5,154,7,16,7,0,2.7,2,0,4,operating
C0054,2007,17,CleanTech,Sweden,Seed,0.68,2,2,2,15,3,0,0.0,2,0,2,operating
C0055,2014,10,HealthTech,Israel,Series A,4.43,3,28,3,5,2,1,1.8,3,0,2,operating
C0056,2008,16,Software,Japan,Series A,2.96,3,26,4,15,3,1,0.9,2,0,1,operating
C0057,2009,15,EdTech,Singapore,Series C,72.82,4,49,7,14,6,0,2.8,1,0,1,operating
C0058,2005,19,AI/ML,Germany,Seed,0.83,1,3,1,14,1,0,0.0,1,0,1,closed
C0059,2018,6,Logistics,Netherlands,Seed,0.37,1,5,0,6,0,0,0.0,3,0,2,closed
C0060,2005,19,Software,India,Series C,32.54,4,130,8,12,7,0,3.4,3,0,5,operating
C0061,2002,22,CleanTech,USA,Seed,0.43,1,4,2,13,4,0,0.0,3,0,3,acquired
C0062,2021,3,FinTech,China,Seed,0.61,1,4,1,6,0,0,0.0,3,0,4,operating
C0063,2002,22,AgriTech,India,Series B,20.55,4,34,4,14,3,0,2.3,3,0,3,operating
C0064,2008,16,Software,Netherlands,Series B,4.71,4,124,6,14,7,1,1.9,2,0,5,operating
C0065,2008,16,Hardware,Germany,Series A,10.58,3,38,5,15,4,1,1.0,2,0,2,operating
C0066,2020,4,Logistics,USA,Series A,1.68,3,25,4,0,5,1,0.8,3,0,3,operating
C0067,2014,10,HealthTech,India,IPO,289.82,7,766,13,11,13,1,4.6,3,0,1,operating
C0068,2020,4,Hardware,India,Series A,1.25,2,8,4,1,3,0,1.1,2,0,2,operating
C0069,2016,8,EdTech,Japan,Seed,0.38,1,7,3,8,5,0,0.4,2,0,1,acquired
C0070,2008,16,Gaming,Sweden,IPO,532.22,7,1625,14,15,11,1,4.4,3,0,4,operating
C0071,2017,7,AI/ML,UK,Series A,6.68,3,54,4,5,6,0,0.9,2,0,1,operating
C0072,2012,12,HealthTech,Singapore,Series B,14.59,4,136,5,12,6,0,2.2,3,0,4,operating
C0073,2016,8,Logistics,Netherlands,Series A,13.0,3,20,5,9,4,0,0.1,3,0,3,closed
C0074,2017,7,CleanTech,Netherlands,Series A,0.67,3,12,5,5,6,0,1.4,3,0,5,acquired
C0075,2003,21,AI/ML,Germany,Seed,0.45,1,6,2,16,2,0,0.0,1,0,5,operating
C0076,2016,8,AgriTech,France,Series A,4.05,2,108,3,5,3,0,2.0,3,1,4,operating
C0077,2008,16,Biotech,Australia,Series A,2.29,2,8,2,10,4,1,1.2,3,0,4,operating
C0078,2007,17,AgriTech,Canada,Series B,12.49,3,54,7,13,8,1,1.8,2,0,2,operating
C0079,2007,17,E-Commerce,Israel,Series B,3.84,4,105,6,12,4,1,1.6,1,0,4,operating
C0080,2005,19,AgriTech,Australia,Seed,0.83,2,4,1,13,0,0,0.2,3,0,2,operating
C0081,2016,8,FoodTech,Australia,Series B,9.92,4,47,8,5,9,1,1.9,3,0,4,operating
C0082,2004,20,AgriTech,Netherlands,Seed,0.45,2,6,3,14,5,0,0.1,2,0,3,acquired
C0083,2011,13,FoodTech,Sweden,Series C,51.85,4,145,10,9,8,0,3.5,2,0,2,operating
C0084,2016,8,Logistics,Germany,Seed,0.43,1,10,4,5,6,0,0.0,1,0,4,operating
C0085,2014,10,Logistics,China,Series A,1.1,2,67,6,7,6,0,0.8,1,1,1,acquired
C0086,2011,13,Biotech,Sweden,Series A,3.3,2,32,4,12,4,0,0.4,1,0,3,operating
C0087,2013,11,AgriTech,Singapore,Series B,4.46,3,115,4,8,5,0,2.2,2,0,1,operating
C0088,2017,7,Biotech,Netherlands,Series A,0.86,2,39,2,2,4,0,0.9,1,0,1,closed
C0089,2021,3,AgriTech,Canada,Seed,0.92,2,3,3,0,3,0,0.0,2,0,2,closed
C0090,2001,23,Biotech,Sweden,Seed,0.51,1,5,2,16,2,0,0.7,2,0,2,operating
C0091,2014,10,FinTech,Netherlands,Series C,100.84,5,225,8,11,6,1,3.5,2,0,1,operating
C0092,2018,6,Logistics,UK,IPO,145.77,6,1091,14,8,14,0,5.0,1,0,1,operating
C0093,2009,15,Media,UK,Series A,1.95,2,10,2,14,4,0,0.9,3,0,4,operating
C0094,2019,5,Gaming,Netherlands,Series A,5.06,2,146,5,2,4,0,1.7,3,0,3,operating
C0095,2021,3,E-Commerce,Brazil,Series A,1.62,2,6,2,2,2,0,1.1,2,0,4,operating
C0096,2006,18,FoodTech,Israel,Series A,1.16,2,30,2,10,4,0,0.3,3,1,5,operating
C0097,2010,14,AI/ML,Sweden,Series D+,31.35,5,336,9,10,8,1,4.7,3,0,4,operating
C0098,2010,14,Gaming,Singapore,Series C,32.02,4,695,9,10,9,0,2.6,2,1,5,operating
C0099,2000,24,FinTech,Brazil,Seed,0.67,1,4,0,14,2,1,0.1,3,0,3,operating
C0100,2011,13,Biotech,France,Series B,7.25,3,108,4,13,6,1,2.2,3,0,2,operating
C0101,2007,17,Biotech,USA,Series D+,90.64,5,591,11,9,8,1,3.1,2,1,4,operating
C0102,2005,19,Biotech,India,Series A,2.06,2,28,2,13,4,0,1.4,3,0,5,operating
C0103,2021,3,Media,USA,Series B,26.3,4,33,8,2,9,0,2.3,2,1,3,operating
C0104,2013,11,E-Commerce,Israel,Series B,12.12,3,211,5,6,5,0,1.8,1,0,3,acquired
C0105,2017,7,HealthTech,Netherlands,Series B,30.46,3,84,8,5,8,0,1.7,1,0,5,operating
C0106,2014,10,FinTech,Netherlands,Series B,6.77,4,88,5,6,4,0,1.8,1,0,5,operating
C0107,2016,8,AgriTech,France,Series B,32.18,3,76,7,7,6,1,3.1,3,0,2,operating
C0108,2009,15,SaaS,South Korea,Series D+,50.28,5,329,11,9,11,0,4.5,1,0,1,operating
C0109,2004,20,AI/ML,India,Seed,0.62,1,6,4,12,4,1,0.6,2,0,5,operating
C0110,2001,23,Logistics,Singapore,Series A,8.38,3,43,6,20,4,0,1.1,2,0,4,operating
C0111,2000,24,CleanTech,China,Series B,3.71,4,37,4,20,6,0,2.0,1,0,2,operating
C0112,2011,13,E-Commerce,Canada,Series A,6.14,2,12,5,8,5,0,0.8,1,0,4,operating
C0113,2014,10,EdTech,South Korea,Seed,0.21,1,5,3,5,5,0,0.0,1,0,4,closed
C0114,2019,5,FoodTech,China,Series B,13.84,3,66,8,4,7,1,1.5,2,0,1,operating
C0115,2010,14,SaaS,USA,Series C,45.91,5,188,8,12,8,0,1.7,2,0,2,operating
C0116,2009,15,Logistics,UK,Series D+,178.79,6,716,8,14,6,1,3.4,3,0,2,operating
C0117,2021,3,SaaS,India,Series A,1.27,3,29,6,3,6,0,1.2,1,0,4,operating
C0118,2011,13,FinTech,South Korea,IPO,84.98,7,1017,13,8,10,1,3.9,2,0,3,operating
C0119,2004,20,AgriTech,UK,Series C,24.76,4,192,7,16,7,0,2.4,2,1,4,operating
C0120,2007,17,FinTech,France,Series C,13.7,5,345,9,12,8,0,2.0,2,0,5,operating
C0121,2004,20,Logistics,Canada,Seed,0.27,2,1,4,13,5,0,0.0,1,0,5,operating
C0122,2003,21,EdTech,South Korea,Series A,4.6,2,11,5,18,4,0,0.7,3,0,1,operating
C0123,2009,15,Logistics,Canada,Series C,25.1,4,373,7,11,8,1,2.7,2,0,3,operating
C0124,2016,8,HealthTech,Israel,Series B,12.37,3,50,8,6,6,0,2.2,3,1,1,operating
C0125,2020,4,EdTech,Germany,Series A,3.07,3,24,4,6,5,0,1.5,2,1,4,operating
C0126,2007,17,Software,Sweden,Series C,14.82,5,492,8,9,9,0,3.0,2,1,2,operating
C0127,2003,21,Hardware,China,Series A,2.71,2,29,5,13,6,1,1.0,1,0,4,operating
C0128,2017,7,Hardware,Singapore,IPO,213.89,7,1229,12,7,9,0,4.9,3,0,1,operating
C0129,2020,4,AgriTech,India,Series C,93.78,5,183,9,2,10,0,2.9,3,0,3,operating
C0130,2011,13,AI/ML,Israel,Series C,200.67,5,381,8,13,7,0,3.1,2,0,2,operating
C0131,2000,24,Hardware,Israel,Series C,31.27,4,288,7,15,7,0,3.1,2,0,5,operating
C0132,2003,21,SaaS,Germany,Seed,0.23,2,7,4,12,6,0,0.0,3,0,4,operating
C0133,2009,15,FinTech,Germany,Series D+,36.57,5,1198,12,9,10,1,3.4,2,0,5,operating
C0134,2004,20,FoodTech,UK,Series B,44.53,4,248,5,17,5,0,1.3,2,0,2,operating
C0135,2003,21,HealthTech,China,Series A,1.17,2,22,2,18,1,1,1.1,3,0,4,operating
C0136,2000,24,HealthTech,South Korea,Series A,6.11,2,35,5,16,6,0,0.3,2,0,5,operating
C0137,2021,3,Media,USA,Series A,0.69,2,27,4,1,5,0,1.2,2,0,2,operating
C0138,2017,7,AI/ML,France,Series D+,99.12,6,274,8,5,6,1,3.5,2,0,4,operating
C0139,2009,15,FoodTech,Israel,Series A,2.1,2,64,5,8,4,0,1.0,2,0,2,operating
C0140,2014,10,AI/ML,Canada,Seed,0.48,1,5,4,6,4,0,0.4,3,0,3,closed
C0141,2016,8,EdTech,Israel,Series A,2.75,2,30,6,3,4,0,0.5,3,0,1,acquired
C0142,2010,14,Logistics,India,Seed,0.52,2,14,1,7,1,0,0.0,2,0,4,operating
C0143,2009,15,CleanTech,Canada,IPO,297.26,7,3596,14,11,12,1,4.6,1,0,4,operating
C0144,2008,16,Gaming,Netherlands,Series B,15.65,4,207,4,14,5,0,1.7,1,0,1,operating
C0145,2010,14,Media,India,Series C,11.13,5,225,6,10,4,0,2.5,3,0,2,operating
C0146,2005,19,Gaming,Germany,Series C,71.88,4,154,8,12,8,0,2.5,1,0,4,operating
C0147,2003,21,Media,China,Series C,50.88,4,144,6,18,4,0,3.3,1,0,3,operating
C0148,2004,20,AI/ML,Australia,Series B,42.45,4,91,5,17,5,0,2.0,3,0,3,operating
C0149,2010,14,Gaming,Japan,Series D+,47.41,6,957,9,12,9,0,2.8,1,1,1,operating
C0150,2019,5,EdTech,UK,Series D+,69.37,5,720,8,7,9,0,4.0,3,0,1,operating
C0151,2015,9,FinTech,South Korea,Seed,0.21,2,6,3,4,5,0,0.0,3,0,5,operating
C0152,2013,11,EdTech,China,Series C,34.89,4,239,8,8,6,0,3.1,1,0,2,operating
C0153,2005,19,CleanTech,Netherlands,Seed,0.21,1,4,2,14,1,1,0.2,2,0,3,acquired
C0154,2018,6,E-Commerce,Brazil,Series C,20.83,4,383,6,5,6,0,2.9,2,1,1,operating
C0155,2019,5,Software,Israel,Series A,0.84,2,39,2,4,3,0,1.1,2,0,5,operating
C0156,2015,9,FoodTech,USA,Seed,0.42,1,10,3,8,4,0,0.1,1,0,2,acquired
C0157,2012,12,Software,Israel,Series B,5.52,3,74,5,9,4,1,1.8,3,0,4,operating
C0158,2021,3,Gaming,Germany,Series C,34.68,4,69,6,6,5,1,2.3,2,1,3,operating
C0159,2000,24,Gaming,Brazil,Series A,12.97,3,18,4,18,6,0,0.8,1,0,3,operating
C0160,2000,24,FinTech,Japan,Series A,3.25,3,55,3,16,3,0,0.5,2,1,3,operating
C0161,2008,16,Media,France,Seed,0.33,1,5,4,15,4,0,0.7,3,0,5,operating
C0162,2006,18,Software,South Korea,IPO,485.71,7,1929,14,16,13,1,4.3,2,0,4,operating
C0163,2018,6,Biotech,China,Series B,23.04,4,85,5,4,6,0,2.7,2,0,5,operating
C0164,2017,7,Hardware,Netherlands,Seed,0.55,1,2,1,6,1,0,0.2,2,1,2,acquired
C0165,2005,19,FoodTech,USA,Series C,25.51,4,580,10,17,8,0,2.6,3,0,4,operating
C0166,2008,16,Gaming,Sweden,Series A,4.53,3,8,4,9,4,0,0.4,1,0,4,operating
C0167,2000,24,EdTech,Israel,Series A,6.51,2,57,4,19,5,0,1.4,2,0,4,operating
C0168,2003,21,HealthTech,USA,Seed,0.41,1,6,3,13,4,0,0.0,2,0,5,operating
C0169,2004,20,FoodTech,Brazil,Series C,15.01,4,83,9,13,10,0,2.8,1,1,4,operating
C0170,2008,16,EdTech,China,Series B,36.39,3,92,6,11,5,0,1.4,2,0,5,operating
C0171,2006,18,Gaming,Australia,Series B,14.86,3,39,6,14,6,0,2.1,3,0,1,operating
C0172,2018,6,CleanTech,Brazil,Seed,0.29,1,4,4,5,4,0,0.1,3,1,3,operating
C0173,2019,5,EdTech,USA,Series A,2.63,3,37,5,4,7,0,0.9,2,0,3,closed
C0174,2017,7,SaaS,UK,Series B,11.23,4,141,6,8,6,0,1.7,3,1,5,operating
C0175,2016,8,Software,USA,Series A,1.5,2,13,4,7,3,0,1.3,3,0,3,acquired
C0176,2020,4,Hardware,Brazil,Series A,1.68,3,41,2,5,3,0,0.8,2,1,5,acquired
C0177,2008,16,EdTech,Japan,Series C,51.28,5,380,6,10,5,1,2.9,2,0,2,operating
C0178,2018,6,Logistics,South Korea,Series A,1.88,2,21,3,3,5,0,0.1,1,0,3,operating
C0179,2006,18,AI/ML,China,Seed,0.42,1,5,2,14,3,0,0.0,2,0,4,operating
C0180,2017,7,Biotech,Netherlands,Series B,16.89,4,108,7,6,7,0,1.8,2,1,2,acquired
C0181,2016,8,SaaS,Japan,Series A,2.6,3,24,3,8,3,0,0.4,2,0,5,operating
C0182,2000,24,Gaming,Australia,Seed,0.85,2,5,3,15,4,0,0.0,3,0,1,closed
C0183,2000,24,Hardware,South Korea,IPO,414.54,6,2579,14,18,13,0,4.5,2,1,3,operating
C0184,2004,20,E-Commerce,Japan,Seed,0.53,2,4,0,14,2,0,0.6,1,0,5,operating
C0185,2001,23,Logistics,Germany,Seed,0.31,2,17,0,17,0,0,0.0,3,1,3,operating
C0186,2020,4,Gaming,Japan,Series B,68.05,3,44,7,2,7,0,2.1,2,1,2,operating
C0187,2004,20,FoodTech,South Korea,Series D+,170.82,6,814,9,14,7,0,3.9,2,0,1,operating
C0188,2005,19,FinTech,Brazil,Series C,12.23,4,164,9,12,10,1,2.6,2,1,5,operating
C0189,2006,18,SaaS,USA,Series A,5.19,2,11,5,16,6,1,1.0,3,0,3,operating
C0190,2002,22,FinTech,Israel,Series B,13.44,3,117,7,19,8,1,2.1,1,0,3,operating
C0191,2006,18,Hardware,Japan,Seed,0.98,1,6,2,12,1,0,0.0,2,0,1,acquired
C0192,2021,3,HealthTech,Israel,Series A,3.28,3,36,3,0,3,1,0.5,1,0,3,operating
C0193,2020,4,Biotech,Sweden,IPO,474.55,7,1675,11,5,9,1,5.0,3,0,5,operating
C0194,2000,24,Media,Japan,Seed,0.4,1,5,3,17,3,0,0.0,2,0,1,operating
C0195,2017,7,EdTech,Singapore,Series B,13.82,4,53,7,5,7,0,2.5,2,0,2,operating
C0196,2012,12,AI/ML,Israel,Series D+,72.09,6,937,8,8,8,0,3.8,3,0,4,operating
C0197,2010,14,Gaming,Brazil,Seed,0.28,1,6,2,12,1,0,0.4,1,0,3,acquired
C0198,2006,18,Software,Singapore,Series A,7.02,2,17,4,10,5,0,1.5,2,0,3,operating
C0199,2000,24,Software,India,Seed,0.14,1,5,4,15,3,0,0.0,3,0,3,operating
C0200,2011,13,EdTech,UK,Series C,21.38,4,90,7,11,5,0,2.0,2,0,4,operating
C0201,2003,21,FoodTech,Singapore,Series A,2.41,2,46,4,18,3,0,0.6,3,0,1,operating
C0202,2019,5,AI/ML,China,Series A,4.22,2,5,2,2,4,0,0.4,1,1,4,acquired
C0203,2003,21,HealthTech,UK,Series C,33.62,5,394,10,12,11,0,2.5,3,0,5,operating
C0204,2007,17,HealthTech,China,Series B,12.84,4,49,6,10,6,0,2.2,2,0,4,operating
C0205,2020,4,AgriTech,Singapore,Series B,19.93,3,142,7,0,5,0,1.6,1,0,2,acquired
C0206,2016,8,FoodTech,Singapore,Seed,0.63,1,2,2,3,3,0,0.0,2,0,2,operating
C0207,2016,8,FinTech,India,Seed,0.14,1,4,4,5,4,0,0.9,3,0,3,acquired
C0208,2009,15,Media,Australia,Series C,83.87,5,490,8,8,6,1,2.9,3,0,3,operating
C0209,2015,9,Biotech,Germany,Seed,0.17,2,3,0,9,0,0,0.1,1,0,2,closed
C0210,2004,20,E-Commerce,Canada,Seed,0.28,1,2,4,15,4,0,0.1,3,0,4,operating
C0211,2009,15,Biotech,Sweden,Series D+,117.83,6,425,8,9,7,0,3.6,1,0,1,operating
C0212,2011,13,Media,USA,Seed,0.53,1,21,1,10,3,0,0.0,1,1,4,operating
C0213,2011,13,HealthTech,Germany,Series A,2.82,2,14,3,12,4,0,0.1,2,0,3,operating
C0214,2001,23,FinTech,Australia,Series D+,176.68,5,613,11,15,9,0,3.5,2,0,4,operating
C0215,2009,15,E-Commerce,USA,Series A,1.99,3,32,2,9,2,0,1.3,1,0,4,operating
C0216,2018,6,SaaS,Australia,Series B,36.27,4,173,5,5,4,1,1.9,3,1,1,operating
C0217,2004,20,SaaS,Netherlands,Seed,0.34,2,7,2,17,2,0,0.0,2,0,3,operating
C0218,2013,11,AgriTech,South Korea,Series A,0.8,2,26,4,10,4,0,1.2,2,0,1,acquired
C0219,2020,4,SaaS,India,Series A,3.28,3,42,3,3,3,0,0.6,2,1,4,operating
C0220,2010,14,AI/ML,South Korea,Series A,1.84,3,59,2,7,2,0,1.2,3,0,4,operating
C0221,2000,24,FinTech,China,Series A,2.79,2,9,2,18,1,0,1.1,2,0,5,operating
C0222,2009,15,FinTech,Netherlands,Series A,1.38,2,15,6,12,4,1,0.7,2,0,1,operating
C0223,2015,9,Gaming,France,Series C,169.18,4,101,10,10,8,0,2.6,2,0,5,operating
C0224,2005,19,Biotech,China,Series C,52.11,5,66,6,16,6,0,3.3,1,0,3,operating
C0225,2014,10,FoodTech,France,Series A,1.55,3,16,4,9,3,0,1.6,2,0,1,operating
C0226,2012,12,Biotech,UK,Series D+,176.36,5,1893,8,10,9,0,3.8,2,1,2,operating
C0227,2006,18,Software,UK,Series C,82.33,4,242,10,12,10,0,3.1,3,0,1,operating
C0228,2000,24,CleanTech,Israel,Series A,2.16,3,30,4,19,3,0,1.6,2,0,3,operating
C0229,2007,17,EdTech,Netherlands,Seed,0.21,2,3,3,15,2,0,0.1,3,0,5,operating
C0230,2014,10,Logistics,Canada,Seed,0.24,2,4,2,11,2,0,0.0,2,0,3,closed
C0231,2001,23,Software,Singapore,Series C,23.99,5,210,6,15,5,0,3.1,2,1,5,operating
C0232,2006,18,E-Commerce,Japan,Series B,5.41,4,30,4,16,5,0,2.2,2,0,2,operating
C0233,2012,12,Gaming,Brazil,Series B,31.56,3,27,8,8,7,0,1.8,1,1,2,operating
C0234,2018,6,Biotech,Japan,Series C,87.11,5,286,6,8,6,0,2.0,2,1,2,operating
C0235,2003,21,FoodTech,South Korea,Series C,35.94,4,438,9,13,7,0,2.5,2,0,5,operating
C0236,2014,10,EdTech,UK,Series B,12.94,4,68,4,10,5,0,1.6,2,1,3,operating
C0237,2005,19,Software,Canada,Seed,0.68,2,7,2,15,3,0,0.0,1,1,3,closed
C0238,2015,9,HealthTech,Australia,Series A,3.07,3,33,4,5,5,0,0.0,2,1,5,closed
C0239,2009,15,Media,India,Seed,1.27,1,15,2,13,2,0,0.0,3,0,4,acquired
C0240,2005,19,Hardware,Germany,Series B,11.55,4,54,6,17,5,0,2.8,2,0,2,operating
C0241,2000,24,HealthTech,UK,Series B,5.2,4,100,5,20,4,0,2.1,2,0,4,operating
C0242,2002,22,FoodTech,Canada,Series B,27.72,4,95,7,18,6,0,1.9,3,1,2,operating
C0243,2019,5,FoodTech,USA,Series D+,151.51,5,807,12,3,11,0,4.2,3,1,3,operating
C0244,2009,15,FinTech,China,Series B,37.75,3,186,8,13,7,0,2.0,3,1,3,operating
C0245,2006,18,Biotech,India,Seed,0.35,2,1,1,13,2,0,0.0,2,0,5,operating
C0246,2006,18,Gaming,Brazil,Series A,1.01,3,13,6,11,5,0,1.3,1,0,2,operating
C0247,2002,22,CleanTech,Netherlands,Seed,0.43,1,4,1,13,2,0,0.0,3,0,3,acquired
C0248,2009,15,Software,Sweden,Series A,6.12,2,27,2,11,2,0,1.8,2,0,3,operating
C0249,2002,22,Gaming,France,Series C,52.08,4,130,6,18,7,1,3.7,2,0,4,operating
C0250,2007,17,Gaming,France,Series A,1.39,3,31,5,13,5,0,0.0,3,0,1,acquired
C0251,2002,22,E-Commerce,Brazil,Series D+,285.74,5,295,12,18,12,0,3.3,3,0,4,operating
C0252,2009,15,Logistics,South Korea,Series C,103.46,5,302,9,8,7,0,2.7,3,1,3,operating
C0253,2012,12,Hardware,Sweden,Series A,7.92,3,22,3,11,3,0,1.1,2,0,2,operating
C0254,2020,4,EdTech,Netherlands,Seed,0.17,1,7,0,3,1,0,0.2,2,0,1,operating
C0255,2002,22,Software,Japan,Series C,25.48,5,101,6,17,5,0,3.1,1,1,3,operating
C0256,2000,24,AgriTech,USA,Seed,0.65,1,15,1,19,0,0,0.0,2,0,1,operating
C0257,2007,17,Biotech,Sweden,IPO,488.15,6,623,13,10,11,0,4.7,2,0,2,operating
C0258,2016,8,Logistics,Germany,Series B,5.65,4,37,6,6,4,1,1.8,3,0,2,operating
C0259,2011,13,FinTech,Canada,Seed,0.7,1,2,4,7,5,0,0.0,2,0,2,closed
C0260,2002,22,CleanTech,China,Series C,62.56,5,102,7,19,7,0,2.3,2,1,1,operating
C0261,2002,22,Biotech,Netherlands,Series A,6.12,3,21,6,18,4,0,0.9,2,0,1,operating
C0262,2004,20,SaaS,Brazil,Series A,2.68,2,21,5,14,5,0,0.5,2,0,3,operating
C0263,2012,12,Logistics,China,Seed,0.24,2,4,4,10,3,0,0.3,2,0,4,operating
C0264,2007,17,Hardware,South Korea,Series A,2.48,2,32,3,15,4,1,0.7,1,0,1,operating
C0265,2009,15,SaaS,Sweden,Series A,3.51,3,32,4,12,6,0,0.6,1,1,1,operating
C0266,2002,22,Logistics,Canada,Seed,0.93,2,3,4,15,3,0,0.2,1,0,1,closed
C0267,2014,10,Biotech,Brazil,Series A,1.16,3,20,3,6,5,0,0.7,2,1,3,acquired
